Name,Growths,Growth Rate,#Reads,Initial Bins,Used Bins,Fit Err,Error Codes
Dundee023_S38_R1.ndp.trm.s.mm.dup.mq30.calmd_1_AP014808_1_Lactobacillus_acetotolerans_DNA__complete_genome__strain__NBRC_13120_BAC,failed,1.00,2155,50,36,-1.00,"[-1, -2, -5]"
Dundee023_S38_R1.ndp.trm.s.mm.dup.mq30.calmd_1_AP017894_1_Actinomyces_naeslundii_DNA__complete_genome_BAC,fast,2.15,2630,50,31,5.83,[]
Dundee023_S38_R1.ndp.trm.s.mm.dup.mq30.calmd_1_AP017895_1_Rothia_aeria_DNA__complete_genome_BAC,failed,5.23,1470,50,13,5.64,"[-2, -3]"
Dundee023_S38_R1.ndp.trm.s.mm.dup.mq30.calmd_1_BX248353_1_Corynebacterium_diphtheriae_NCTC_13129__complete_genome_BAC,failed,1.00,4026,50,16,1113.37,"[-1, -2, -3, -5]"
Dundee023_S38_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP000023_1_Streptococcus_thermophilus_LMG_18311__complete_genome_BAC,failed,1.35,15711,50,25,12.27,[-5]
Dundee023_S38_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP000233_1_Lactobacillus_salivarius_UCC118__complete_genome_BAC,no growth,1.02,2470,50,44,5.06,[]
Dundee023_S38_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP000387_1_Streptococcus_sanguinis_SK36__complete_genome_BAC,failed,1.70,2740,50,16,10.23,"[-2, -3, -5]"
Dundee023_S38_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP000413_1_Lactobacillus_gasseri_ATCC_33323__complete_genome_BAC,no growth,1.00,12380,50,43,2.46,[]
Dundee023_S38_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP000414_1_Leuconostoc_mesenteroides_subsp__mesenteroides_ATCC_8293__complete_genome_BAC,slow,1.29,1947,50,41,4.05,[]
Dundee023_S38_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP000416_1_Lactobacillus_brevis_ATCC_367__complete_genome_BAC,moderate,1.40,5805,50,46,2.19,[]
Dundee023_S38_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP000423_1_Lactobacillus_paracasei_ATCC_334__complete_genome_BAC,failed,3.15,20757,50,24,7.70,[-3]
Dundee023_S38_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP000725_1_Streptococcus_gordonii_str__Challis_substr__CH1__complete_genome_BAC,fast,2.25,16334,50,45,3.46,[]
Dundee023_S38_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP001617_1_Lactobacillus_plantarum_JDM1__complete_genome_BAC,fast,2.17,19965,50,35,4.00,[]
Dundee023_S38_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP001721_1_Atopobium_parvulum_DSM_20469__complete_genome_BAC,slow,1.23,11353,50,36,7.08,[]
Dundee023_S38_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP001820_1_Veillonella_parvula_DSM_2008__complete_genome_BAC,no growth,1.07,13190,50,44,4.91,[]
Dundee023_S38_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP002280_1_Rothia_dentocariosa_ATCC_17931__complete_genome_BAC,moderate,1.53,53404,50,46,2.75,[]
Dundee023_S38_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP002390_1_Filifactor_alocis_ATCC_35896__complete_genome_BAC,failed,1.00,1349,50,32,-1.00,"[-1, -2, -5]"
Dundee023_S38_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP002589_1_Prevotella_denticola_F0289__complete_genome_BAC,no growth,1.10,1616,50,31,3.80,[]
Dundee023_S38_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP002843_1_Streptococcus_parasanguinis_ATCC_15912__complete_genome_BAC,moderate,1.85,281187,50,39,3.14,[]
Dundee023_S38_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP002925_1_Streptococcus_pseudopneumoniae_IS7493__complete_genome_BAC,moderate,1.60,1906,50,31,5.53,[]
Dundee023_S38_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP003800_1_Streptococcus_constellatus_subsp__pharyngis_C232__complete_genome_BAC,fast,2.95,5855,50,27,5.03,[]
Dundee023_S38_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP003860_1_Streptococcus_anginosus_C1051__complete_genome_BAC,moderate,1.39,5488,50,36,4.09,[]
Dundee023_S38_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP003959_1_Serratia_marcescens_WW4__complete_genome_BAC,moderate,1.71,3833,50,46,2.06,[]
Dundee023_S38_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP004409_1_Streptococcus_cristatus_AS_1_3089_chromosome__complete_genome_BAC,failed,1.00,2516,50,8,39.86,"[-2, -3, -5]"
Dundee023_S38_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP009761_1_Parvimonas_micra_strain_KCOM_1535__complete_genome_BAC,slow,1.28,7521,50,43,2.61,[]
Dundee023_S38_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP012072_1_Actinomyces_meyeri_strain_W712__complete_genome_BAC,failed,1.69,12627,50,24,3.48,[-3]
Dundee023_S38_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP012890_1_Lactobacillus_gallinarum_strain_HFD4__complete_genome_BAC,failed,1.00,2110,50,27,-1.00,"[-1, -2, -5]"
Dundee023_S38_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP013130_1_Lactobacillus_paraplantarum_strain_L_ZS9__complete_genome_BAC,no growth,1.00,159525,50,44,3.36,[]
Dundee023_S38_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP013195_1_Prevotella_enoeca_strain_F0113__complete_genome_BAC,failed,1.04,2038,50,11,29.13,"[-2, -3, -5]"
Dundee023_S38_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP013336_1_Fusobacterium_hwasookii_ChDC_F206__complete_genome_BAC,fast,2.24,1084,50,30,3.04,[]
Dundee023_S38_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP014232_1_Actinomyces_oris_strain_T14V__complete_genome_BAC,moderate,1.53,3515,50,29,5.05,[]
Dundee023_S38_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP014787_1_Lactobacillus_oris_strain_J_1_chromosome__complete_genome_BAC,failed,2.13,11588,50,25,68.55,[-5]
Dundee023_S38_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP016028_1_Lactobacillus_curvatus_strain_FBA2__complete_genome_BAC,failed,1.00,1843,50,39,-1.00,"[-1, -2, -5]"
Dundee023_S38_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP018888_1_Lactobacillus_amylophilus_DSM_20533___JCM_1125__complete_genome_BAC,failed,1.00,2023,50,36,-1.00,"[-1, -2, -5]"
Dundee023_S38_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP020438_2_Streptococcus_equinus_strain_FDAARGOS_251_chromosome__complete_genome_BAC,failed,1.94,41017,50,15,22.33,"[-3, -5]"
Dundee023_S38_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP020566_1_Veillonella_atypica_strain_OK5_chromosome__complete_genome_BAC,no growth,1.00,23706,50,39,5.89,[]
Dundee023_S38_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP023863_1_Prevotella_jejuni_strain_CD3_33_chromosome_I__complete_sequence_BAC,slow,1.16,8073,50,38,3.29,[]
Dundee023_S38_R1.ndp.trm.s.mm.dup.mq30.calmd_1_FM177140_1_Lactobacillus_casei_BL23_complete_genome__strain_BL23_BAC,failed,4.05,40893,50,24,80.97,"[-3, -5]"
Dundee023_S38_R1.ndp.trm.s.mm.dup.mq30.calmd_1_FN568063_1_Streptococcus_mitis_B6_complete_genome__strain_B6_BAC,failed,1.00,3607,50,29,9.65,[-5]
Dundee023_S38_R1.ndp.trm.s.mm.dup.mq30.calmd_1_FR720602_1_Streptococcus_oralis_Uo5_complete_genome_sequence_BAC,moderate,1.66,12933,50,41,4.57,[]
Dundee023_S38_R1.ndp.trm.s.mm.dup.mq30.calmd_1_FR821777_2_Staphylococcus_argenteus_MSHR1132_complete_genome_sequence_BAC,failed,1.21,5778,50,8,61.77,"[-3, -5]"
Dundee023_S38_R1.ndp.trm.s.mm.dup.mq30.calmd_1_FR873482_1_Streptococcus_salivarius_JIM8777_complete_genome_BAC,failed,2.64,65024,50,13,99.00,"[-3, -5]"
Dundee023_S38_R1.ndp.trm.s.mm.dup.mq30.calmd_CP021091.1_Pichia_kudriavzevii_strain_SJP_chromosome_4,failed,2.33,1218,50,22,7.06,"[-2, -3]"
Dundee023_S38_R1.ndp.trm.s.mm.dup.mq30.calmd_CP021098.1_Pichia_kudriavzevii_strain_SJP_mitochondrion__complete_genome,failed,10266.97,19351,50,6,0.97,"[-3, -4]"
Dundee023_S38_R1.ndp.trm.s.mm.dup.mq30.calmd_CP028533.1_Pichia_kudriavzevii_strain_CBS5147_chromosome_3__complete_sequence,failed,4.37,1553,50,33,3205.06,"[-1, -2, -5]"
Dundee023_S38_R1.ndp.trm.s.mm.dup.mq30.calmd_CP028534.1_Pichia_kudriavzevii_strain_CBS5147_chromosome_4__complete_sequence,failed,1.25,3458,50,20,13.56,"[-3, -5]"
Dundee023_S38_R1.ndp.trm.s.mm.dup.mq30.calmd_CP028535.1_Pichia_kudriavzevii_strain_CBS5147_chromosome_5__complete_sequence,no growth,1.00,3852,50,26,5.72,[]
Dundee023_S38_R1.ndp.trm.s.mm.dup.mq30.calmd_CP028773.1_Pichia_kudriavzevii_strain_CBS573_chromosome_1__complete_sequence,failed,173.86,1060,50,13,5.24,"[-2, -3, -4]"
